Name	Source Niche	Source Type	Source Details	Collection Year	Continent	Country	Region	District	City	Latitude	Longitude	Species
ERR9964620	Human	Human	human	1996	Africa	Madagascar	Amoron'i Mania	Ambositra	IlakaCentre	-20.3333	47.15	Yersinia pestis
ERR9966563	Human	Human	human	1977	Africa	Madagascar	Vakinankaratra	Antanifotsy		-19.65	47.3167	Yersinia pestis
ERR9966564	Human	Human	human	1969	Africa	Madagascar	Amoron'i Mania	Fandriana		-20.2333	47.3833	Yersinia pestis
ERR9966565	Human	Human	human	1982	Africa	Madagascar	Amoron'i Mania	Ambositra	Andina	-20.5167	47.15	Yersinia pestis
ERR9966566	Human	Human	human	1983	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambovombe	-20.7833	47.0667	Yersinia pestis
ERR9966567	Human	Human	human	1983	Africa	Madagascar	Amoron'i Mania	Ambositra	Tsarasoatra	-20.4333	47.2333	Yersinia pestis
ERR9966568	Human	Human	human	1994	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambohimilanja	-20.6667	46.6333	Yersinia pestis
ERR9964621	Human	Human	human	1998	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra	-20.5167	47.25	Yersinia pestis
ERR9966569	Human	Human	human	1996	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra II	-20.5167	47.25	Yersinia pestis
ERR9966570	Human	Human	human	1996	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra I	-20.5167	47.25	Yersinia pestis
ERR9966571	Human	Human	human	1994	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambatomarina	-20.5833	47.0167	Yersinia pestis
ERR9966572	Wild Animal	Rodent	rat	1998	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra	-20.5167	47.25	Yersinia pestis
ERR9966575	Human	Human	human	1988	Africa	Madagascar	Amoron'i Mania	Ambositra	Tsarasaotra	-20.4333	47.2333	Yersinia pestis
SRR21998205	Human	Human	human	1997	Africa	Madagascar				-18.88010041	47.53932084	Yersinia pestis
SRR21998206	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1997	Africa	Madagascar				-18.88010041	47.53932084	Yersinia pestis
SRR21998207	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1995	Africa	Madagascar				-15.71338643	46.32068495	Yersinia pestis
SRR21998208	Human	Human	human	1997	Africa	Madagascar				-18.88010041	47.53932084	Yersinia pestis
SRR21998209	Human	Human	human	1997	Africa	Madagascar				-18.88010041	47.53932084	Yersinia pestis
SRR21998211	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1997	Africa	Madagascar				-18.90721957	47.51933343	Yersinia pestis
SRR21998212	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1997	Africa	Madagascar				-18.90721957	47.51933343	Yersinia pestis
SRR21998214	Wild Animal	Rodent	Rattus norvegicus; spleen	1997	Africa	Madagascar				-18.90721957	47.51933343	Yersinia pestis
SRR21998215	Human	Human	Homo sapiens; liver	1995	Africa	Madagascar				-15.71338643	46.32068495	Yersinia pestis
SRR21998218	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1995	Africa	Madagascar				-15.70965362	46.31749746	Yersinia pestis
SRR21998205p	Human	Human	human	1997	Africa	Madagascar				-18.88010041	47.53932084	Yersinia pestis
ERR9964621inter	Human	Human	human	1998	Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra	-20.5167	47.25	Yersinia pestis
SRR21998218n	Wild Animal	Invertebrate	Xenopsylla cheopis; homogenate	1995	Africa	Madagascar				-15.70965362	46.31749746	Yersinia pestis
